name,rating,company_type,employee_count,ownership_status,company_age,head_quarters,reviews,salaries,interviews,jobs,benefits
Treebo Hotels,3.5,Internet,51-200 Employees,Startup,8 years old,Bangalore,225,1.5k,14,36,42
Flyjac Logistics,4.2,Logistics,501-1k Employees,N/A,33 years old,Chennai,225,1k,4,--,19
Eastern Condiments,4.2,Food Processing,1k-5k Employees,N/A,40 years old,Idukki,225,919,8,3,23
MeritNation,3.6,EdTech,51-200 Employees,N/A,35 years old,Delhi,225,1.1k,7,16,19
Synopsys,4.3,Software Product,1k-5k Employees,Public,37 years old,Mountain View,225,2k,39,114,44
D.p. Jain & Co. Infrastructure Pvt .,3.5,Engineering & Construction,201-500 Employees,N/A,49 years old,Nagpur,225,1.1k,13,--,28
Infocepts Technologies,3.3,IT Services & Consulting,1k-5k Employees,N/A,19 years old,Washington DC,225,2.5k,26,16,23
Huntsman International,4.3,Chemicals,501-1k Employees,Forbes Global 2000,53 years old,Texas,225,1.1k,10,3,43
Akbar Travels,4.3,Travel & Tourism,1k-5k Employees,N/A,45 years old,Mumbai,225,1k,9,2,14
Zimetrics Technologies,4.6,IT Services & Consulting,201-500 Employees,N/A,8 years old,Pune,225,475,3,23,116
OptimHire,3.8,IT Services & Consulting,51-200 Employees,N/A,5 years old,Union City,225,590,18,309,36
Dhruv Research,3.3,Management Consulting,51-200 Employees,N/A,3 years old,Gurgaon/Gurugram,225,159,5,12,6
Sureti Insurance Marketing,4.3,Insurance,51-200 Employees,N/A,N/A,N/A,225,94,19,7,13
Danfoss Power Solutions,4.0,Power,51-200 Employees,N/A,N/A,N/A,224,1k,8,--,23
SALARPURIA SATTVA,4.3,Real Estate,1k-5k Employees,N/A,37 years old,Bangalore/Bengaluru,224,1.3k,18,1,23
HungerBox,3.9,Internet,501-1k Employees,Startup,7 years old,Bangalore,224,1.2k,11,5,33
Patil Group,4.1,Engineering & Construction,11-50 Employees,N/A,90 years old,Hyderabad,224,1.3k,15,6,42
Cactus Communications,3.7,Software Product,1k-5k Employees,N/A,21 years old,Mumbai,224,1.4k,42,14,42
Eastman Chemical Company,4.4,Chemicals,501-1k Employees,Forbes Global 2000,73 years old,Mumbai,224,716,11,16,125
Micron Technology,3.6,Semiconductors,1k-5k Employees,Forbes Global 2000,45 years old,Boise,224,1.9k,19,10,36
Watertec India,4.2,Building Material,1k-5k Employees,N/A,26 years old,Coimbatore,224,1.1k,5,--,28
Solartis Technology Services,3.7,IT Services & Consulting,51-200 Employees,N/A,19 years old,Manhattan Beach,224,1.6k,14,--,24
El Seif Engineering Contracting,4.5,Engineering & Construction,51-200 Employees,N/A,48 years old,Riyadh,224,357,6,--,35
Sub-K IMPACT Solutions,4.2,Financial Services,1k-5k Employees,N/A,13 years old,Hyderabad,224,744,12,7,33
Smaaash Entertainment,3.7,Sports & Recreation,501-1k Employees,N/A,14 years old,Mumbai,223,847,2,4,33
ESAB,4.1,Industrial Machinery,501-1k Employees,Public,36 years old,Chennai,223,1.3k,15,--,40
Aeries Technology,3.4,IT Services & Consulting,501-1k Employees,N/A,11 years old,Mumbai,223,1.7k,17,285,37
Titan Laboratories,3.6,Pharma,201-500 Employees,N/A,19 years old,Mumbai,223,771,5,29,57
Thyssenkrupp Industrial Solutions,4.2,Industrial Machinery,1k-5k Employees,N/A,164 years old,Essen,223,1.3k,8,--,29
Aliens Group,3.6,Real Estate,501-1k Employees,N/A,19 years old,Hyderabad/Secunderabad,223,1.3k,16,208,65
LANXESS India Private Limited,4.2,Chemicals,501-1k Employees,N/A,19 years old,Cologne,223,1.1k,12,--,43
ISS SDB Security Services,4.3,Facility Management Services,1k-5k Employees,N/A,13 years old,Mumbai,223,655,4,--,22
Magic Software,3.3,IT Services & Consulting,201-500 Employees,N/A,33 years old,Laguna Hills,223,2.2k,9,25,21
Walplast Products,4.1,Engineering & Construction,201-500 Employees,N/A,19 years old,Navi Mumbai,223,1.1k,14,7,32
MMC Infotech Services,3.4,IT Services & Consulting,201-500 Employees,N/A,33 years old,Chennai,223,984,15,30,11
Bharat Oman Refineries,3.8,Oil & Gas,501-1k Employees,Public,12 years old,Bina,223,1.2k,8,--,38
Sabre,3.9,Software Product,1k-5k Employees,N/A,63 years old,Southlake,223,2.2k,19,12,41
Khimji Ramdas,3.9,Other,201-500 Employees,N/A,153 years old,Muscat,223,844,10,8,26
Algonomy,3.8,Software Product,201-500 Employees,N/A,19 years old,Bangalore,223,1.5k,7,13,63
VGN Projects Estates,4.3,Real Estate,1k-5k Employees,N/A,81 years old,Chennai,223,920,11,--,89
Council of Scientific and Industrial Research,4.4,Government,5k-10k Employees,Central,81 years old,New Delhi,223,1.1k,16,--,11
Nexval Infotech,3.2,IT Services & Consulting,501-1k Employees,N/A,14 years old,Kolkata,223,1k,6,--,32
Freyr Solutions,3.6,Pharma,5k-10k Employees,N/A,16 years old,N/A,223,1.7k,15,4,25
Sj Contracts,4.4,Engineering & Construction,501-1k Employees,N/A,33 years old,Pune,223,888,13,1,27
GUS Education India,3.3,EdTech,1k-5k Employees,N/A,6 years old,Hyderabad/Secunderabad,223,1.3k,22,21,22
NTT Global Networks,4.3,Hardware & Networking,501-1k Employees,Public,23 years old,Greenwood Village,223,1.8k,20,9,47
Examity,3.3,EdTech,201-500 Employees,Startup,10 years old,Needham,223,1.4k,15,3,31
Global Aluminium,3.8,N/A,1k-5k Employees,N/A,26 years old,Hyderabad/Secunderabad,223,654,10,--,18
Examity,3.3,EdTech,201-500 Employees,Startup,10 years old,Needham,223,1.4k,15,3,31
