name,rating,company_type,employee_count,ownership_status,company_age,head_quarters,reviews,salaries,interviews,jobs,benefits
Jain Farm Fresh Foods,3.6,FMCG,201-500 Employees,Public,60 years old,Jalgaon,74,509,4,--,7
Grecian Super Specialty Hospital,2.4,Healthcare,11-50 Employees,N/A,17 years old,Mohali,74,317,5,--,8
Cambata Aviation,4.8,Aviation,1k-5k Employees,N/A,69 years old,New Delhi,74,121,--,--,5
HLE Engineers,3.9,Industrial Machinery,501-1k Employees,N/A,42 years old,Navsari,74,368,2,--,16
Secure Parking Solutions,4.5,Urban Transport,1k-5k Employees,N/A,44 years old,Mumbai,74,260,3,4,10
Kyocera Ctc Precision Tools,3.6,Industrial Machinery,51-200 Employees,N/A,11 years old,Gurgaon,74,385,3,--,11
Jain Farm Fresh Foods,3.6,FMCG,201-500 Employees,Public,60 years old,Jalgaon,74,509,4,--,7
Cozmo Travel,4.1,Travel & Tourism,51-200 Employees,N/A,13 years old,Sharjah,74,362,--,7,25
BG LIIN Electrical,3.6,N/A,51-200 Employees,N/A,24 years old,Aurangabad,74,342,4,--,11
Rama group,3.2,Real Estate,201-500 Employees,N/A,33 years old,Pune,74,608,4,7,6
Cico Technologies,4.3,Chemicals,201-500 Employees,N/A,93 years old,New Delhi,74,307,4,--,6
Eqic Dies & Moulds Engineers,3.8,Industrial Machinery,201-500 Employees,N/A,35 years old,N/A,74,314,2,--,11
SHRI LAKSHMI STEEL SUPPLIERS,3.7,Iron & Steel,501-1k Employees,N/A,37 years old,Bangalore/Bengaluru,74,378,4,16,13
Achievers Spot,4.6,Education & Training,201-500 Employees,N/A,13 years old,Chennai,74,29,8,50,12
Sevalaya,4.7,N/A,N/A,N/A,N/A,N/A,74,69,--,--,1
New Swan Multitech,3.8,Industrial Machinery,51-200 Employees,N/A,14 years old,Ludhiana,74,516,4,--,9
Sewa Grih Rin,3.7,NBFC,201-500 Employees,N/A,12 years old,Delhi,74,390,1,2,7
Third wave Coffee Roasters,3.9,Internet,1-10 Employees,Startup,7 years old,Bangalore,74,396,6,5,6
Classic Marble Company,4.0,Building Material,201-500 Employees,N/A,29 years old,Mumbai,74,426,4,6,8
Grecian Super Specialty Hospital,2.4,Healthcare,11-50 Employees,N/A,17 years old,Mohali,74,317,5,--,8
Datacomp Web Technologies (i),3.8,IT Services & Consulting,201-500 Employees,N/A,38 years old,Mumbai,74,510,2,7,5
Wizertech Informatics,4.0,IT Services & Consulting,51-200 Employees,N/A,23 years old,Kolkata,74,468,--,3,9
Achievers Spot,4.6,Education & Training,201-500 Employees,N/A,13 years old,Chennai,74,29,8,50,12
AVYAIT,4.0,N/A,51-200 Employees,N/A,3 years old,N/A,74,104,--,--,27
Myanatomy Integration,4.7,Recruitment,51-200 Employees,N/A,7 years old,bangalore,74,116,3,1,4
Sewa Grih Rin,3.7,NBFC,201-500 Employees,N/A,12 years old,Delhi,74,390,1,2,7
Third wave Coffee Roasters,3.9,Internet,1-10 Employees,Startup,7 years old,Bangalore,74,396,6,5,6
FabCafe,4.0,Hospitality,51-200 Employees,N/A,6 years old,New Delhi,74,461,4,--,8
Crescon Projects & Services,3.8,IT Services & Consulting,51-200 Employees,N/A,12 years old,Chennai,74,418,6,3,11
FINNEW SOLUTIONS,4.4,Financial Services,201-500 Employees,N/A,8 years old,Bangalore/Bengaluru,74,493,--,1,6
SHRI LAKSHMI STEEL SUPPLIERS,3.7,Iron & Steel,501-1k Employees,N/A,37 years old,Bangalore/Bengaluru,74,378,4,16,13
Cynoteck Technology Solutions,4.6,IT Services & Consulting,51-200 Employees,N/A,15 years old,N/A,74,103,--,3,61
RICE GROUP,2.9,Education & Training,1k-5k Employees,N/A,38 years old,Kolkata,74,321,3,--,7
Sterling Information Resources,4.0,N/A,51-200 Employees,N/A,N/A,N/A,74,491,4,--,10
Ideaforge Technology,4.4,Internet,51-200 Employees,N/A,16 years old,Mumbai,74,575,7,69,8
Dhanuka Laboratories,4.1,Pharma,201-500 Employees,N/A,N/A,N/A,74,482,2,--,3
Sagacious IP,4.1,N/A,11-50 Employees,N/A,15 years old,Everett,74,377,9,--,13
DSK Toyota,4.8,Automobile,1k-5k Employees,N/A,23 years old,Pune,74,96,2,--,13
Ananda Dairy,4.2,Agriculture,51-200 Employees,N/A,34 years old,Noida,74,363,4,--,9
Panchayati Raj Department,3.6,Government,N/A,N/A,N/A,N/A,74,216,--,--,12
Kimia Biosciences,3.3,Pharma,51-200 Employees,N/A,30 years old,Delhi/NCR,74,492,6,--,3
Air Force School,4.0,Education & Training,10k-50k Employees,N/A,68 years old,Delhi/NCR,74,310,1,3,6
Gainwell Technologies,4.1,IT Services & Consulting,501-1k Employees,N/A,14 years old,Virginia,74,695,4,43,8
Paytail,3.2,FinTech,51-200 Employees,Startup,3 years old,Delhi,74,233,4,54,2
IBM Consulting,3.9,N/A,10k-50k Employees,N/A,N/A,N/A,74,660,14,--,10
Learnbay,4.1,N/A,N/A,N/A,N/A,N/A,74,193,1,2,1
Believe Cosmetics,3.4,N/A,N/A,N/A,N/A,N/A,74,327,6,10,6
AchieveX Solutions,4.6,IT Services & Consulting,51-200 Employees,Startup,6 years old,N/A,74,123,--,7,--
Decorpot,3.2,Architecture & Interior Design,201-500 Employees,N/A,8 years old,Bengaluru/Bangalore,74,415,7,52,23
LambdaTest,4.6,Software Product,201-500 Employees,Startup,6 years old,San Francisco,74,316,6,93,17
Apollo 247,3.1,N/A,501-1k Employees,N/A,N/A,N/A,74,709,5,40,7
AccioJob,4.3,EdTech,51-200 Employees,Startup,5 years old,Gurgaon,74,167,4,4,1
Sony Pictures Networks,4.1,N/A,N/A,N/A,N/A,N/A,74,431,1,--,3
Bharat Cooperative Bank,4.1,Financial Services,1k-5k Employees,N/A,N/A,N/A,73,554,2,--,5
Ashwini Hospital,4.0,Healthcare,N/A,N/A,36 years old,Cuttack,73,414,--,--,9
Pearl Academy,3.8,Education & Training,201-500 Employees,N/A,30 years old,New Delhi,73,478,3,2,9
Zenith Precision,3.7,Aviation,51-200 Employees,N/A,37 years old,Bengaluru,73,384,2,--,7
Transworld Group of Companies,3.7,Logistics,201-500 Employees,N/A,46 years old,Dubai,73,547,3,4,12
The Flights Guru Infotech,4.5,Travel & Tourism,51-200 Employees,N/A,13 years old,New Delhi,73,133,10,1,13
Hester Biosciences,4.1,Biotechnology,201-500 Employees,Public,40 years old,Ahmedabad,73,444,4,1,8
Seneca Global IT Services,4.1,IT Services & Consulting,201-500 Employees,N/A,16 years old,N/A,73,774,2,3,11
Kyb Conmat,4.0,Industrial Machinery,201-500 Employees,N/A,21 years old,Vadodara,73,524,3,--,15
Sarvatra Technologies,4.1,FinTech,201-500 Employees,N/A,23 years old,Pune,73,696,5,5,6
IMA-PG,4.2,Medical Equipment,201-500 Employees,N/A,62 years old,Navi Mumbai,73,474,2,--,9
Arihant Superstructures,2.6,Real Estate,51-200 Employees,Public,40 years old,Navi Mumbai,73,477,3,--,7
Ganga Medical Centre & Hospitals,4.1,Healthcare,501-1k Employees,N/A,45 years old,Coimbatore,73,415,5,--,6
The Flights Guru Infotech,4.5,Travel & Tourism,51-200 Employees,N/A,13 years old,New Delhi,73,133,10,1,13
Bharat Cooperative Bank,4.1,Financial Services,1k-5k Employees,N/A,N/A,N/A,73,554,2,--,5
Pearl Academy,3.8,Education & Training,201-500 Employees,N/A,30 years old,New Delhi,73,478,3,2,9
Transworld Group of Companies,3.7,Logistics,201-500 Employees,N/A,46 years old,Dubai,73,547,3,4,12
Ashwini Hospital,4.0,Healthcare,N/A,N/A,36 years old,Cuttack,73,414,--,--,9
SeedWorks International,4.4,Agriculture,201-500 Employees,N/A,25 years old,Hyderabad,73,340,4,--,6
Mckinsey Knowledge Center,4.1,Management Consulting,1k-5k Employees,N/A,25 years old,Chennai,73,676,4,--,20
Hitachi Solutions,4.1,IT Services & Consulting,501-1k Employees,N/A,10 years old,Chiyoda City,73,957,3,86,15
Aquapharm Chemicals,4.2,Chemicals,201-500 Employees,N/A,38 years old,Pune,73,499,3,--,11
Khosla Profil,3.4,Fashion & Textile,501-1k Employees,N/A,44 years old,Mumbai,73,476,5,2,6
Blue Tokai Coffee Roasters,3.7,Beverage,201-500 Employees,Startup,11 years old,Delhi,73,333,4,36,14
Kyb Conmat,4.0,Industrial Machinery,201-500 Employees,N/A,21 years old,Vadodara,73,524,3,--,15
Hester Biosciences,4.1,Biotechnology,201-500 Employees,Public,40 years old,Ahmedabad,73,444,4,1,8
YLG Salon & Spa,3.5,Beauty & Personal Care,51-200 Employees,N/A,14 years old,Bangalore,73,385,5,--,10
H'Reck Engineers,4.1,Engineering & Construction,1k-5k Employees,N/A,44 years old,Mumbai,73,364,1,--,9
Damati Plastics,4.3,Petrochemicals,11-50 Employees,N/A,20 years old,Mumbai Suburban,73,182,2,12,33
Snap-on Business Solutions,3.9,IT Services & Consulting,201-500 Employees,N/A,27 years old,Richfield,73,533,6,7,15
Zen Technologies,3.2,Consumer Electronics & Appliances,201-500 Employees,Public,30 years old,Hyderabad,73,558,8,23,11
GD Goenka International School,3.6,N/A,N/A,N/A,N/A,N/A,73,293,5,--,21
Ganga Medical Centre & Hospitals,4.1,Healthcare,501-1k Employees,N/A,45 years old,Coimbatore,73,415,5,--,6
SUNDIRECT,4.0,N/A,N/A,N/A,16 years old,Chennai,73,411,3,--,8
Sac Engine Components,3.7,Auto Components,501-1k Employees,N/A,37 years old,Chennai,73,595,2,--,12
Nido Machineries,4.2,Industrial Machinery,51-200 Employees,N/A,13 years old,Mumbai,73,359,4,5,20
S.H. Kelkar & Co.,4.3,Chemicals,1k-5k Employees,N/A,15 years old,Mumbai,73,383,2,--,11
Maruti Service Masters,3.9,Automobile,201-500 Employees,Public,24 years old,New Delhi,73,303,5,--,8
Vasant Masala,4.1,Retail,51-200 Employees,N/A,53 years old,Ahmedabad,73,287,2,3,8
Redco International Wll,3.8,Engineering & Construction,5k-10k Employees,N/A,41 years old,Doha,73,206,3,--,18
SAL STEEL,3.6,Iron & Steel,201-500 Employees,Public,20 years old,Gurgaon/Gurugram,73,498,3,8,10
Colan Infotech,4.0,IT Services & Consulting,201-500 Employees,N/A,14 years old,Chennai,73,872,8,26,18
Carestream Health,3.8,Healthcare,201-500 Employees,N/A,16 years old,New York,73,430,7,1,10
Indian Potash,3.7,Agro Chemicals,1k-5k Employees,N/A,68 years old,Chennai,73,367,5,--,7
Guardian Lifecare,4.2,Pharma,201-500 Employees,N/A,20 years old,Mumbai,73,337,1,--,8
Mallcom,3.7,BPO,1k-5k Employees,Public,40 years old,Kolkata,73,350,4,8,13
Merit Group,3.7,IT Services & Consulting,501-1k Employees,N/A,20 years old,London,73,530,5,8,13
Xpitax Solutions,4.2,Accounting & Auditing,11-50 Employees,N/A,17 years old,Chennai,73,356,--,--,8
Suhail Bahwan Group,3.7,Management Consulting,1k-5k Employees,N/A,58 years old,Muscat,73,297,--,--,11
Web Spiders,2.6,IT Services & Consulting,51-200 Employees,N/A,23 years old,New York,73,437,1,40,8
Mersen,3.6,N/A,201-500 Employees,N/A,132 years old,Courbevoie,73,447,5,--,8
SoftNice,3.7,IT Services & Consulting,501-1k Employees,N/A,22 years old,Allentown,73,567,4,25,11
BIS,4.2,N/A,1k-5k Employees,N/A,N/A,N/A,73,999,3,--,15
Andhra Pradesh State Road Transport Corporation,4.2,Urban Transport | State,N/A,State,65 years old,Vijayawada,73,268,1,--,11
ImpactQA,3.5,IT Services & Consulting,201-500 Employees,N/A,12 years old,New York,73,582,4,4,25
Aruba Networks,4.2,Hardware & Networking,501-1k Employees,N/A,21 years old,Santa Clara,73,814,5,--,10
India Healthcare Solutions,4.0,Healthcare,1k-5k Employees,N/A,24 years old,Chennai,73,352,1,--,7
Swarovski India,3.7,Jewellery,501-1k Employees,N/A,128 years old,Wattens,73,396,3,2,15
Sarvatra Technologies,4.1,FinTech,201-500 Employees,N/A,23 years old,Pune,73,696,5,5,6
Artech,3.3,Architecture & Interior Design,51-200 Employees,N/A,31 years old,Morristown,73,761,8,45,8
Contentra Technologies,2.0,Printing & Publishing,501-1k Employees,N/A,19 years old,New Delhi,73,304,--,--,7
BPO Systems,4.0,IT Services & Consulting,51-200 Employees,N/A,23 years old,Walnut Creek,73,1.1k,11,--,15
Customer Analytics,4.2,IT Services & Consulting,201-500 Employees,N/A,30 years old,Chennai,73,870,3,11,16
ARCOP Associates,4.0,Architecture & Interior Design,51-200 Employees,N/A,53 years old,New Delhi,73,266,2,1,9
Shyama Power India,4.1,Electronics Manufacturing,1k-5k Employees,Public,44 years old,Gurugram,73,232,1,--,8
La opala rg,3.6,Retail,201-500 Employees,Public,36 years old,Kolkata,73,356,3,--,8
SeedWorks International,4.4,Agriculture,201-500 Employees,N/A,25 years old,Hyderabad,73,340,4,--,6
IMA-PG,4.2,Medical Equipment,201-500 Employees,N/A,62 years old,Navi Mumbai,73,474,2,--,9
utkarsh micro finance,3.4,N/A,N/A,N/A,14 years old,Varanasi,73,5,--,--,--
Institute of Liver & Biliary Sciences,4.1,Education & Training,201-500 Employees,N/A,14 years old,N/A,73,401,2,--,9
Crest Premedia Solutions,3.8,Printing & Publishing,1k-5k Employees,N/A,17 years old,Pune,73,284,--,--,9
Garuda Polyflex Foods,3.9,FMCG,501-1k Employees,N/A,11 years old,Bangalore/Bengaluru,73,236,4,3,13
Cades Studec Technologies,3.7,IT Services & Consulting,51-200 Employees,N/A,17 years old,Bengaluru,73,428,4,--,9
Clove Technologies,3.6,IT Services & Consulting,51-200 Employees,N/A,19 years old,Hyderabad/Secunderabad,73,490,--,6,5
Zicom Electronic Security Systems,3.6,Consumer Electronics & Appliances,201-500 Employees,Public,29 years old,Mumbai,73,303,2,--,8
Damati Plastics,4.3,Petrochemicals,11-50 Employees,N/A,20 years old,Mumbai Suburban,73,182,2,12,33
Shah Alloys,3.5,Iron & Steel,1k-5k Employees,Public,33 years old,Ahmedabad,73,477,5,--,11
Skypack,3.6,Packaging,201-500 Employees,N/A,50 years old,Faridabad,73,367,2,--,4
YLG Salon & Spa,3.5,Beauty & Personal Care,51-200 Employees,N/A,14 years old,Bangalore,73,385,5,--,10
Jaipur Vidyut Vitran Nigam,3.6,Government,11-50 Employees,State,N/A,N/A,73,246,1,--,9
H'Reck Engineers,4.1,Engineering & Construction,1k-5k Employees,N/A,44 years old,Mumbai,73,364,1,--,9
TNPL,4.2,Pulp & Paper,201-500 Employees,N/A,38 years old,Chennai,73,338,1,16,16
Ejadah asset Management group,4.0,Real Estate,1k-5k Employees,N/A,18 years old,Dubai,73,242,3,--,11
Karuna Greentech,2.4,Electrical Equipment,201-500 Employees,N/A,8 years old,Kolkata,73,164,--,--,5
Ranjit Buildcon,4.3,Engineering & Construction,N/A,N/A,17 years old,Ahmedabad,73,370,5,--,9
Cardinal Health,3.4,Healthcare,1k-5k Employees,Forbes Global 2000,29 years old,Dublin,73,641,6,2,16
Surevin Bpo Services,3.4,BPO,501-1k Employees,Public,16 years old,Bhopal,73,332,1,3,7
Hotel Hindusthan International,3.9,Hospitality,501-1k Employees,N/A,54 years old,Kolkata,73,422,6,--,10
Iprogrammer Solutions,4.5,IT Services & Consulting,51-200 Employees,N/A,16 years old,Missoula,73,407,6,10,12
Pigeon India,4.0,Consumer Electronics & Appliances,51-200 Employees,N/A,66 years old,Tokyo,73,384,5,--,8
Rishita Developers,4.0,Real Estate,51-200 Employees,N/A,14 years old,Lucknow,73,368,3,--,11
Qapitol Qa,4.1,IT Services & Consulting,201-500 Employees,N/A,8 years old,Bengaluru/Bangalore,73,786,7,--,14
Yaantra,3.3,Internet,501-1k Employees,Startup,10 years old,Delhi,73,590,4,1,8
Velammal Medical College Hospital & Research Institute,3.7,Healthcare,51-200 Employees,N/A,10 years old,Madurai,73,329,1,--,5
Teemage Precast In,3.7,Engineering & Construction,201-500 Employees,N/A,12 years old,Tirupur,73,486,2,--,14
India Post Payments Bank,3.8,Banking,51-200 Employees,Central,N/A,N/A,73,513,3,--,7
FreshToHome,3.5,Retail,1-10 Employees,N/A,8 years old,Bangalore/Bengaluru,73,550,14,9,5
Arvind Textile Mills,4.5,Fashion & Textile,10k-50k Employees,N/A,92 years old,Ahmedabad,73,492,7,--,19
SKS Business Services,3.2,Accounting & Auditing,201-500 Employees,N/A,N/A,N/A,73,392,15,2,11
Captain Steel,4.0,Iron & Steel,51-200 Employees,N/A,N/A,N/A,73,389,6,10,7
Supr Infotech Solutions,4.3,Logistics,501-1k Employees,N/A,N/A,N/A,73,525,5,--,7
Tatva Global School,4.9,Education & Training,51-200 Employees,N/A,N/A,N/A,73,49,2,--,53
Great Champ Technology Limited,3.4,EdTech,501-1k Employees,N/A,13 years old,Noida,73,432,3,2,10
Apollo Cradle,4.1,N/A,501-1k Employees,N/A,11 years old,Hyderabad,73,307,1,--,6
S K Patodia & Associates,3.7,Accounting & Auditing,10k-50k Employees,N/A,31 years old,Mumbai,73,447,3,--,12
Pasa Resources,3.7,Agro Chemicals,51-200 Employees,N/A,N/A,N/A,73,327,2,--,3
ADS Spirits,4.0,N/A,201-500 Employees,N/A,13 years old,New Delhi,73,307,1,--,9
DigiTech Call System,2.6,BPO,N/A,N/A,7 years old,noida,73,418,8,2,7
S.K.B. Builders,3.8,Engineering & Construction,51-200 Employees,N/A,41 years old,New Delhi,73,340,3,--,11
Great Champ Technology Limited,3.4,EdTech,501-1k Employees,N/A,13 years old,Noida,73,432,3,2,10
Apollo Cradle,4.1,N/A,501-1k Employees,N/A,11 years old,Hyderabad,73,307,1,--,6
Han River Technology,4.3,N/A,51-200 Employees,N/A,10 years old,Kolkata,73,223,2,13,10
Vydehi Institute Of Medical Sciences And Research Centre,3.7,Healthcare,1k-5k Employees,N/A,23 years old,Bengaluru,73,429,1,--,19
India Post Payments Bank,3.8,Banking,51-200 Employees,Central,N/A,N/A,73,513,3,--,7
S.K.B. Builders,3.8,Engineering & Construction,51-200 Employees,N/A,41 years old,New Delhi,73,340,3,--,11
DigiTech Call System,2.6,BPO,N/A,N/A,7 years old,noida,73,418,8,2,7
S K Patodia & Associates,3.7,Accounting & Auditing,10k-50k Employees,N/A,31 years old,Mumbai,73,447,3,--,12
International Centre for Automotive Technology,3.2,Auto Components,201-500 Employees,N/A,17 years old,Gurugram,73,568,--,--,10
Jspiders,4.0,Education & Training,11-50 Employees,N/A,N/A,N/A,73,333,3,--,3
Sandip University,3.9,Education & Training,501-1k Employees,N/A,7 years old,Nashik,73,281,5,--,12
Aaa Capital Services,3.2,Financial Services,51-200 Employees,N/A,28 years old,New Delhi,73,725,4,2,9
ContactPoint 360,4.5,Other,201-500 Employees,N/A,16 years old,Mississauga,73,197,4,18,6
TP Southern Odisha Distribution,3.5,N/A,1k-5k Employees,N/A,N/A,N/A,73,307,13,--,5
AIMLAY,3.6,Education & Training,201-500 Employees,N/A,N/A,N/A,73,165,3,36,15
LatentBridge,4.5,IT Services & Consulting,51-200 Employees,N/A,5 years old,London,73,64,3,34,26
ACCE GLOBAL SOFTWARE,3.5,Software Product,201-500 Employees,N/A,N/A,N/A,73,121,4,2,21
Jungleworks,3.5,Software Product,201-500 Employees,N/A,6 years old,Seattle,73,407,5,25,9
Salaryfy,5.0,Recruitment,11-50 Employees,N/A,N/A,N/A,73,2,--,--,--
Magnit Global,3.7,Software Product,1k-5k Employees,N/A,N/A,N/A,73,144,5,--,5
Omnex,4.2,Management Consulting,201-500 Employees,N/A,27 years old,Ann Arbor,73,616,3,19,9
International SOS,3.5,Healthcare,201-500 Employees,N/A,23 years old,Singapore,73,404,1,6,12
Parle Global Technologies,4.3,Pharma,201-500 Employees,N/A,49 years old,Thane,72,463,2,11,7
IMS Learning Resources,3.6,Education & Training,51-200 Employees,N/A,46 years old,Mumbai,72,603,3,8,5
Coupa Software Inc,3.9,IT Services & Consulting,501-1k Employees,Public,17 years old,San Mateo,72,668,11,23,9
Artefact Projects,2.1,Agriculture,1-10 Employees,N/A,2023 years old,Nagpur,72,434,2,11,6
Fourth Dimension Technologies,3.7,IT Services & Consulting,51-200 Employees,N/A,34 years old,Chennai,72,636,8,15,6
ASC Infratech,3.9,N/A,51-200 Employees,N/A,13 years old,Noida,72,327,8,2,9
Worldwide Oilfield Machine,4.2,Oil & Gas,51-200 Employees,N/A,43 years old,Houston,72,520,1,--,10
TekFriday Processing Solutions,3.8,IT Services & Consulting,201-500 Employees,N/A,10 years old,N/A,72,615,4,8,12
Satec Envir Engineering (I),4.3,Engineering & Construction,501-1k Employees,N/A,32 years old,Mumbai,72,269,4,5,8
Schenck Rotec,4.3,Auto Components,51-200 Employees,N/A,28 years old,Darmstadt,72,347,2,8,20
Viswaat Chemicals,3.6,Chemicals,201-500 Employees,Public,25 years old,Mumbai,72,599,1,1,14
Pacifica Companies,4.1,Real Estate,201-500 Employees,N/A,45 years old,Ahmedabad,72,395,3,5,6
Experion Developers,4.5,Real Estate,51-200 Employees,N/A,17 years old,Gurgaon,72,430,3,20,9
Rashi Peripherals,3.7,IT Services & Consulting,1k-5k Employees,N/A,34 years old,Mumbai,72,411,3,4,10
B.P. Poddar Hospital & Medical Research,3.1,Healthcare,201-500 Employees,Public,19 years old,Kolkata,72,305,5,--,8
AIT Global,4.1,IT Services & Consulting,51-200 Employees,N/A,20 years old,Pune,72,634,5,6,7
Frog CellSat,4.4,Design,201-500 Employees,N/A,30 years old,Noida,72,417,6,--,9
Mahaveer Group,2.8,Real Estate,11-50 Employees,N/A,25 years old,Bengaluru,72,481,7,--,8
AJ Hospital and Research Centre,3.6,Healthcare,501-1k Employees,N/A,22 years old,Mangalore,72,326,3,7,6
Swaraj Automotives,3.9,Auto Components,1-10 Employees,N/A,49 years old,Mohali,72,366,8,--,10
Layam Management Solutions,3.4,Recruitment,11-50 Employees,N/A,16 years old,Chennai,72,322,4,--,18
Gopalan Enterprises,4.1,Real Estate,201-500 Employees,N/A,39 years old,Bangalore/Bengaluru,72,604,4,11,10
Manikgarh Cement,4.2,Building Material,201-500 Employees,N/A,36 years old,Chandrapur,72,211,1,--,11
Exilant Technologies,3.9,IT Services & Consulting,501-1k Employees,N/A,19 years old,Bangalore/Bengaluru,72,513,1,--,9
Systematix Infotech,4.0,IT Services & Consulting,201-500 Employees,N/A,18 years old,Indore,72,540,5,3,10
SMC Real Estate Advisors,3.3,Real Estate,51-200 Employees,N/A,33 years old,New Delhi,72,399,2,7,6
Blenheim Chalcot,3.2,IT Services & Consulting,501-1k Employees,N/A,25 years old,London,72,751,9,9,10
Hetro Pharma,4.0,N/A,1k-5k Employees,N/A,30 years old,Hyderabad/Secunderabad,72,482,8,--,11
Smile Electronics,2.9,Electronics Manufacturing,201-500 Employees,Public,25 years old,Bangalore/Bengaluru,72,592,1,--,8
Golcha Associated Group,4.1,Metals & Mining,1k-5k Employees,N/A,68 years old,Jaipur,72,435,3,2,12
Savills,4.3,Real Estate,201-500 Employees,N/A,N/A,N/A,72,577,7,--,9
JK Trust Gram Vikas Yojana,4.4,Non-Profit,51-200 Employees,N/A,78 years old,Thane,72,162,1,--,6
4I Apps Solutions,4.1,IT Services & Consulting,201-500 Employees,N/A,15 years old,N/A,72,709,3,23,14
Defsys Solutions,3.5,Defence & Aerospace,51-200 Employees,N/A,16 years old,Gurgaon/Gurugram,72,558,1,11,19
Mindbody,3.4,IT Services & Consulting,201-500 Employees,N/A,22 years old,N/A,72,547,6,32,10
Nestor Pharmaceuticals,3.1,Pharma,51-200 Employees,Public,106 years old,New Delhi,72,388,4,--,4
Rucha Group Of Industries,2.9,Industrial Machinery,1k-5k Employees,Public,29 years old,Aurangabad,72,587,4,--,9
Flint Group,3.7,Printing & Publishing,51-200 Employees,N/A,18 years old,Luxembourg,72,308,--,2,15
Yoma Multinational Solutions,4.0,Recruitment,51-200 Employees,N/A,11 years old,Gurugram,72,450,--,--,11
Brindavan Bottlers,3.9,Beverage,51-200 Employees,N/A,38 years old,Lucknow,72,345,--,--,9
Lonsen Kiri Chemical Industries,3.9,Chemicals,201-500 Employees,N/A,25 years old,Ahemdabad,72,398,1,--,15
Power2sme,4.3,Industrial Automation,51-200 Employees,Startup,11 years old,Gurgaon,72,700,7,7,10
Contata Solutions,3.9,IT Services & Consulting,51-200 Employees,N/A,23 years old,Minneapolis,72,673,1,23,7
Techtree It Systems,2.7,IT Services & Consulting,51-200 Employees,N/A,17 years old,Noida,72,609,3,11,5
NTT DATA FA Insurance Systems,3.8,Software Product,201-500 Employees,N/A,42 years old,Singapore,72,570,3,--,9
ETP International,3.5,Power,51-200 Employees,N/A,35 years old,Singapore,72,512,3,3,17
IMImobile,3.9,IT Services & Consulting,501-1k Employees,N/A,23 years old,London,72,1.1k,2,1,10
Mediaocean,4.3,Software Product,201-500 Employees,N/A,56 years old,N/A,72,588,4,--,22
Herman Miller,4.3,Furniture & Furnishing,201-500 Employees,N/A,118 years old,Zeeland,72,634,7,15,13
U&D Square Solutions,3.6,IT Services & Consulting,51-200 Employees,N/A,22 years old,Pune,72,325,5,--,9
Naiknavare Developers,3.5,Real Estate,201-500 Employees,N/A,37 years old,Pune,72,466,4,10,13
Samsung Semiconductor,3.7,N/A,11-50 Employees,N/A,40 years old,San Jose,72,603,7,8,11
Bigtree Entertainment,4.2,Internet,201-500 Employees,N/A,24 years old,Mumbai,72,644,--,1,18
Computer Generated Solutions,3.0,IT Services & Consulting,201-500 Employees,N/A,39 years old,New York,72,743,4,--,10
W3Global,3.3,Recruitment,201-500 Employees,N/A,17 years old,Frisco,72,450,8,9,7
WHSmith,4.3,Retail,201-500 Employees,N/A,231 years old,Swindon,72,278,3,--,8
INOXCVA,3.9,Financial Services,1k-5k Employees,N/A,31 years old,Vadodara,72,503,1,--,7
Antal International,3.3,Recruitment,51-200 Employees,N/A,30 years old,London,72,477,7,1.4k,12
Allied Jb Friction,4.4,N/A,51-200 Employees,N/A,12 years old,Neemrana,72,351,4,--,10
Weather Risk Management Services,3.5,Agriculture,201-500 Employees,N/A,19 years old,Gurgaon/Gurugram,72,335,6,21,6
ALEC,4.4,Engineering & Construction,10k-50k Employees,N/A,24 years old,Dubai,72,178,3,--,10
S Mobile Devices,4.3,Consumer Electronics & Appliances,51-200 Employees,N/A,11 years old,Noida,72,272,--,1,8
Vhb Medi Sciences,3.6,Pharma,1k-5k Employees,N/A,77 years old,Mumbai,72,396,4,--,6
Ecocat India,4.4,Auto Components,51-200 Employees,N/A,32 years old,N/A,72,537,3,--,11
Herman Miller,4.3,Furniture & Furnishing,201-500 Employees,N/A,118 years old,Zeeland,72,634,7,15,13
W3Global,3.3,Recruitment,201-500 Employees,N/A,17 years old,Frisco,72,450,8,9,7
Samsung Semiconductor,3.7,N/A,11-50 Employees,N/A,40 years old,San Jose,72,603,7,8,11
U&D Square Solutions,3.6,IT Services & Consulting,51-200 Employees,N/A,22 years old,Pune,72,325,5,--,9
Naiknavare Developers,3.5,Real Estate,201-500 Employees,N/A,37 years old,Pune,72,466,4,10,13
The Energy and Resources Institute,3.4,Analytics & KPO,1k-5k Employees,N/A,49 years old,New Delhi,72,514,4,--,13
Zenith Software,4.1,IT Services & Consulting,201-500 Employees,N/A,27 years old,Banglore,72,583,4,3,3
Bigtree Entertainment,4.2,Internet,201-500 Employees,N/A,24 years old,Mumbai,72,644,--,1,18
Supreme Petrochem,3.9,Chemicals,201-500 Employees,Public,30 years old,Mumbai,72,590,4,--,14
Antal International,3.3,Recruitment,51-200 Employees,N/A,30 years old,London,72,477,7,1.4k,12
Tekskills,3.4,Recruitment,501-1k Employees,N/A,20 years old,New York,72,672,7,38,9
INOXCVA,3.9,Financial Services,1k-5k Employees,N/A,31 years old,Vadodara,72,503,1,--,7
Power2sme,4.3,Industrial Automation,51-200 Employees,Startup,11 years old,Gurgaon,72,700,7,7,10
